source,qid,kind,quality_pool,scored_pool,candidate_rank,rerank_rank,scored_pool_latency_ms
dense,exact-001,exact,10,100,1,1,1404.047
dense,exact-001,exact,20,100,1,1,1404.047
dense,exact-001,exact,30,100,1,1,1404.047
dense,exact-001,exact,50,100,1,1,1404.047
dense,exact-001,exact,100,100,1,1,1404.047
dense,exact-002,exact,10,100,1,1,1201.054
dense,exact-002,exact,20,100,1,1,1201.054
dense,exact-002,exact,30,100,1,1,1201.054
dense,exact-002,exact,50,100,1,1,1201.054
dense,exact-002,exact,100,100,1,1,1201.054
dense,exact-003,exact,10,100,2,1,1151.305
dense,exact-003,exact,20,100,2,1,1151.305
dense,exact-003,exact,30,100,2,1,1151.305
dense,exact-003,exact,50,100,2,1,1151.305
dense,exact-003,exact,100,100,2,1,1151.305
dense,exact-004,exact,10,100,1,1,1164.844
dense,exact-004,exact,20,100,1,1,1164.844
dense,exact-004,exact,30,100,1,1,1164.844
dense,exact-004,exact,50,100,1,1,1164.844
dense,exact-004,exact,100,100,1,1,1164.844
dense,exact-005,exact,10,100,2,4,1156.323
dense,exact-005,exact,20,100,2,4,1156.323
dense,exact-005,exact,30,100,2,4,1156.323
dense,exact-005,exact,50,100,2,4,1156.323
dense,exact-005,exact,100,100,2,4,1156.323
dense,exact-006,exact,10,100,1,1,1154.133
dense,exact-006,exact,20,100,1,1,1154.133
dense,exact-006,exact,30,100,1,1,1154.133
dense,exact-006,exact,50,100,1,1,1154.133
dense,exact-006,exact,100,100,1,1,1154.133
dense,exact-007,exact,10,100,2,2,1156.841
dense,exact-007,exact,20,100,2,2,1156.841
dense,exact-007,exact,30,100,2,2,1156.841
dense,exact-007,exact,50,100,2,2,1156.841
dense,exact-007,exact,100,100,2,2,1156.841
dense,exact-008,exact,10,100,1,1,1164.849
dense,exact-008,exact,20,100,1,1,1164.849
dense,exact-008,exact,30,100,1,1,1164.849
dense,exact-008,exact,50,100,1,1,1164.849
dense,exact-008,exact,100,100,1,1,1164.849
dense,exact-009,exact,10,100,1,1,1152.979
dense,exact-009,exact,20,100,1,1,1152.979
dense,exact-009,exact,30,100,1,1,1152.979
dense,exact-009,exact,50,100,1,1,1152.979
dense,exact-009,exact,100,100,1,1,1152.979
dense,exact-010,exact,10,100,1,2,1149.716
dense,exact-010,exact,20,100,1,2,1149.716
dense,exact-010,exact,30,100,1,2,1149.716
dense,exact-010,exact,50,100,1,2,1149.716
dense,exact-010,exact,100,100,1,2,1149.716
dense,exact-011,exact,10,100,1,1,1146.834
dense,exact-011,exact,20,100,1,1,1146.834
dense,exact-011,exact,30,100,1,1,1146.834
dense,exact-011,exact,50,100,1,1,1146.834
dense,exact-011,exact,100,100,1,1,1146.834
dense,exact-012,exact,10,100,1,1,1159.426
dense,exact-012,exact,20,100,1,1,1159.426
dense,exact-012,exact,30,100,1,1,1159.426
dense,exact-012,exact,50,100,1,1,1159.426
dense,exact-012,exact,100,100,1,1,1159.426
dense,exact-013,exact,10,100,1,1,1150.437
dense,exact-013,exact,20,100,1,1,1150.437
dense,exact-013,exact,30,100,1,1,1150.437
dense,exact-013,exact,50,100,1,1,1150.437
dense,exact-013,exact,100,100,1,1,1150.437
dense,exact-014,exact,10,100,1,1,1161.459
dense,exact-014,exact,20,100,1,1,1161.459
dense,exact-014,exact,30,100,1,1,1161.459
dense,exact-014,exact,50,100,1,1,1161.459
dense,exact-014,exact,100,100,1,1,1161.459
dense,exact-015,exact,10,100,1,1,1153.651
dense,exact-015,exact,20,100,1,1,1153.651
dense,exact-015,exact,30,100,1,1,1153.651
dense,exact-015,exact,50,100,1,1,1153.651
dense,exact-015,exact,100,100,1,1,1153.651
dense,exact-016,exact,10,100,1,1,1154.453
dense,exact-016,exact,20,100,1,1,1154.453
dense,exact-016,exact,30,100,1,1,1154.453
dense,exact-016,exact,50,100,1,1,1154.453
dense,exact-016,exact,100,100,1,1,1154.453
dense,exact-017,exact,10,100,1,1,1159.698
dense,exact-017,exact,20,100,1,1,1159.698
dense,exact-017,exact,30,100,1,1,1159.698
dense,exact-017,exact,50,100,1,1,1159.698
dense,exact-017,exact,100,100,1,1,1159.698
dense,exact-018,exact,10,100,1,1,1158.527
dense,exact-018,exact,20,100,1,1,1158.527
dense,exact-018,exact,30,100,1,1,1158.527
dense,exact-018,exact,50,100,1,1,1158.527
dense,exact-018,exact,100,100,1,1,1158.527
dense,exact-019,exact,10,100,1,1,1154.512
dense,exact-019,exact,20,100,1,1,1154.512
dense,exact-019,exact,30,100,1,1,1154.512
dense,exact-019,exact,50,100,1,1,1154.512
dense,exact-019,exact,100,100,1,1,1154.512
dense,exact-020,exact,10,100,1,1,1152.315
dense,exact-020,exact,20,100,1,1,1152.315
dense,exact-020,exact,30,100,1,1,1152.315
dense,exact-020,exact,50,100,1,1,1152.315
dense,exact-020,exact,100,100,1,1,1152.315
dense,exact-021,exact,10,100,1,1,1147.058
dense,exact-021,exact,20,100,1,1,1147.058
dense,exact-021,exact,30,100,1,1,1147.058
dense,exact-021,exact,50,100,1,1,1147.058
dense,exact-021,exact,100,100,1,1,1147.058
dense,exact-022,exact,10,100,1,1,1162.143
dense,exact-022,exact,20,100,1,1,1162.143
dense,exact-022,exact,30,100,1,1,1162.143
dense,exact-022,exact,50,100,1,1,1162.143
dense,exact-022,exact,100,100,1,1,1162.143
dense,exact-023,exact,10,100,4,3,1152.147
dense,exact-023,exact,20,100,4,3,1152.147
