strategy,qid,kind,rank,latency_ms
bm25,exact-001,exact,1,1
bm25,exact-002,exact,1,1
bm25,exact-003,exact,4,1
bm25,exact-004,exact,1,1
bm25,exact-005,exact,9,1
bm25,exact-006,exact,1,1
bm25,exact-007,exact,1,1
bm25,exact-008,exact,1,1
bm25,exact-009,exact,1,1
bm25,exact-010,exact,1,1
bm25,exact-011,exact,1,1
bm25,exact-012,exact,2,1
bm25,exact-013,exact,1,1
bm25,exact-014,exact,1,1
bm25,exact-015,exact,4,1
bm25,exact-016,exact,1,1
bm25,exact-017,exact,1,1
bm25,exact-018,exact,1,1
bm25,exact-019,exact,1,1
bm25,exact-020,exact,1,1
bm25,exact-021,exact,1,1
bm25,exact-022,exact,1,1
bm25,exact-023,exact,2,1
bm25,exact-024,exact,2,1
bm25,exact-025,exact,1,1
bm25,exact-026,exact,1,1
bm25,exact-027,exact,1,1
bm25,exact-028,exact,1,1
bm25,exact-029,exact,1,1
bm25,exact-030,exact,1,1
bm25,exact-031,exact,1,1
bm25,exact-032,exact,1,1
bm25,exact-033,exact,1,1
bm25,exact-034,exact,1,1
bm25,exact-035,exact,1,1
bm25,exact-036,exact,1,1
bm25,exact-037,exact,1,1
bm25,exact-038,exact,1,1
bm25,exact-039,exact,3,1
bm25,exact-040,exact,1,1
bm25,exact-041,exact,1,1
bm25,exact-042,exact,1,1
bm25,exact-043,exact,1,1
bm25,exact-044,exact,1,1
bm25,exact-045,exact,1,1
bm25,exact-046,exact,6,1
bm25,exact-047,exact,1,1
bm25,exact-048,exact,1,1
bm25,exact-049,exact,1,1
bm25,exact-050,exact,5,1
bm25,exact-051,exact,1,1
bm25,exact-052,exact,1,1
bm25,exact-053,exact,1,1
bm25,exact-054,exact,1,1
bm25,exact-055,exact,8,1
bm25,exact-056,exact,2,1
bm25,exact-057,exact,1,1
bm25,exact-058,exact,1,0
bm25,exact-059,exact,4,1
bm25,exact-060,exact,1,1
bm25,exact-061,exact,1,1
bm25,exact-062,exact,1,1
bm25,exact-063,exact,1,1
bm25,exact-064,exact,1,1
bm25,exact-065,exact,1,1
bm25,exact-066,exact,1,1
bm25,exact-067,exact,1,1
bm25,exact-068,exact,1,1
bm25,exact-069,exact,1,1
bm25,exact-070,exact,1,1
bm25,exact-071,exact,1,1
bm25,exact-072,exact,1,1
bm25,exact-073,exact,1,1
bm25,exact-074,exact,1,1
bm25,exact-075,exact,1,1
bm25,exact-076,exact,1,1
bm25,exact-077,exact,1,1
bm25,exact-078,exact,1,1
bm25,exact-079,exact,1,1
bm25,exact-080,exact,1,1
bm25,exact-081,exact,1,1
bm25,exact-082,exact,1,1
bm25,exact-083,exact,1,1
bm25,exact-084,exact,1,1
bm25,exact-085,exact,1,1
bm25,exact-086,exact,1,1
bm25,exact-087,exact,1,1
bm25,exact-088,exact,1,1
bm25,exact-089,exact,1,1
bm25,exact-090,exact,1,1
bm25,exact-091,exact,2,1
bm25,exact-092,exact,1,1
bm25,exact-093,exact,1,1
bm25,exact-094,exact,4,1
bm25,exact-095,exact,1,1
bm25,exact-096,exact,1,1
bm25,exact-097,exact,1,1
bm25,exact-098,exact,3,1
bm25,exact-099,exact,1,1
bm25,exact-100,exact,1,1
bm25,exact-101,exact,1,1
bm25,exact-102,exact,1,1
bm25,exact-103,exact,1,1
bm25,exact-104,exact,1,1
bm25,exact-105,exact,1,1
bm25,exact-106,exact,1,1
bm25,exact-107,exact,1,1
bm25,exact-108,exact,1,1
bm25,exact-109,exact,1,1
bm25,exact-110,exact,1,2
bm25,exact-111,exact,1,1
bm25,exact-112,exact,1,2
bm25,exact-113,exact,1,1
bm25,exact-114,exact,1,1
bm25,exact-115,exact,0,1
bm25,exact-116,exact,1,1
bm25,exact-117,exact,1,1
bm25,exact-118,exact,1,1
bm25,exact-119,exact,1,1
bm25,exact-120,exact,1,1
bm25,semantic-001,semantic,1,1
bm25,semantic-002,semantic,1,0
bm25,semantic-003,semantic,0,0
bm25,semantic-004,semantic,4,0
bm25,semantic-005,semantic,0,1
bm25,semantic-006,semantic,1,1
bm25,semantic-007,semantic,1,1
bm25,semantic-008,semantic,1,0
bm25,semantic-009,semantic,1,0
bm25,semantic-010,semantic,1,0
bm25,semantic-011,semantic,1,0
bm25,semantic-012,semantic,1,0
bm25,semantic-013,semantic,1,0
bm25,semantic-014,semantic,1,0
bm25,semantic-015,semantic,4,0
bm25,semantic-016,semantic,1,1
bm25,semantic-017,semantic,1,1
bm25,semantic-018,semantic,5,0
bm25,semantic-019,semantic,1,0
bm25,semantic-020,semantic,1,0
bm25,semantic-021,semantic,0,0
bm25,semantic-022,semantic,2,0
bm25,semantic-023,semantic,4,0
bm25,semantic-024,semantic,6,0
bm25,semantic-025,semantic,1,1
bm25,semantic-026,semantic,1,0
bm25,semantic-027,semantic,3,0
bm25,semantic-028,semantic,1,0
bm25,semantic-029,semantic,2,0
bm25,semantic-030,semantic,1,1
bm25,semantic-031,semantic,1,1
bm25,semantic-032,semantic,0,0
bm25,semantic-033,semantic,1,1
bm25,semantic-034,semantic,1,0
bm25,semantic-035,semantic,1,1
bm25,semantic-036,semantic,2,0
bm25,semantic-037,semantic,1,0
bm25,semantic-038,semantic,1,0
bm25,semantic-039,semantic,3,1
bm25,semantic-040,semantic,3,1
bm25,semantic-041,semantic,9,1
bm25,semantic-042,semantic,1,1
bm25,semantic-043,semantic,3,1
bm25,semantic-044,semantic,1,0
bm25,semantic-045,semantic,2,0
bm25,semantic-046,semantic,0,0
bm25,semantic-047,semantic,1,1
bm25,semantic-048,semantic,1,1
bm25,semantic-049,semantic,1,1
bm25,semantic-050,semantic,0,1
bm25,semantic-051,semantic,2,0
bm25,semantic-052,semantic,1,0
bm25,semantic-053,semantic,1,0
bm25,semantic-054,semantic,1,1
bm25,semantic-055,semantic,0,0
bm25,semantic-056,semantic,3,0
bm25,semantic-057,semantic,3,0
bm25,semantic-058,semantic,1,0
bm25,semantic-059,semantic,0,0
bm25,semantic-060,semantic,1,0
bm25,semantic-061,semantic,1,0
bm25,semantic-062,semantic,0,0
bm25,semantic-063,semantic,4,0
bm25,semantic-064,semantic,1,1
bm25,semantic-065,semantic,1,0
bm25,semantic-066,semantic,3,0
bm25,semantic-067,semantic,1,1
bm25,semantic-068,semantic,1,0
bm25,semantic-069,semantic,1,1
bm25,semantic-070,semantic,1,0
bm25,semantic-071,semantic,3,0
bm25,semantic-072,semantic,1,0
bm25,semantic-073,semantic,1,0
bm25,semantic-074,semantic,1,0
bm25,semantic-075,semantic,3,0
bm25,semantic-076,semantic,1,0
bm25,semantic-077,semantic,1,0
bm25,semantic-078,semantic,6,0
bm25,semantic-079,semantic,1,0
bm25,semantic-080,semantic,3,0
bm25,semantic-081,semantic,1,1
bm25,semantic-082,semantic,4,0
bm25,semantic-083,semantic,1,0
bm25,semantic-084,semantic,1,0
