cutoff,reporting_role,slice,eligible_queries,query_groups,candidate_hit_at_cutoff,candidate_recall_at_cutoff,all_targets_at_cutoff,before_hit_at_10,after_hit_at_10,before_mrr_at_10,after_mrr_at_10,before_ndcg_at_10,after_ndcg_at_10,mean_delta_ndcg_at_10,delta_ci95_low,delta_ci95_high,paired_wins,paired_ties,paired_losses
10,sensitivity,all_eligible,93,92,0.827956989,0.763440860,0.698924731,0.827956989,0.827956989,0.546795528,0.653673835,0.580963374,0.654412647,0.073449273,0.023928788,0.124455465,30,48,15
10,sensitivity,article_only_single_chunk,12,12,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.397453704,0.486111111,0.458612307,0.526042504,0.067430198,-0.059759885,0.210030945,4,6,2
10,sensitivity,mixed_clause_and_article,2,2,1.000000000,0.500000000,0.000000000,1.000000000,1.000000000,0.625000000,0.625000000,0.438607658,0.438607658,0.000000000,-0.349079070,0.349079070,1,0,1
10,sensitivity,primary_cited_clause,79,78,0.848101266,0.784810127,0.721518987,0.848101266,0.848101266,0.567500502,0.679852321,0.603152288,0.679375327,0.076223038,0.022223160,0.129339758,25,42,12
10,sensitivity,multi_target,18,18,1.000000000,0.666666667,0.333333333,1.000000000,1.000000000,0.619576720,0.793981481,0.541747009,0.622080147,0.080333138,-0.006938863,0.167132824,9,4,5
20,sensitivity,all_eligible,93,92,0.903225806,0.881720430,0.860215054,0.827956989,0.881720430,0.546795528,0.675089606,0.580963374,0.701180168,0.120216795,0.061211880,0.180128530,37,41,15
20,sensitivity,article_only_single_chunk,12,12,0.833333333,0.833333333,0.833333333,0.666666667,0.750000000,0.397453704,0.502777778,0.458612307,0.558280238,0.099667931,-0.035693965,0.247722968,5,5,2
20,sensitivity,mixed_clause_and_article,2,2,1.000000000,0.750000000,0.500000000,1.000000000,1.000000000,0.625000000,0.583333333,0.438607658,0.547811376,0.109203718,-0.394739756,0.613147193,1,0,1
20,sensitivity,primary_cited_clause,79,78,0.911392405,0.892405063,0.873417722,0.848101266,0.898734177,0.567500502,0.703586498,0.603152288,0.726769241,0.123616953,0.060787069,0.189688714,31,36,12
20,sensitivity,multi_target,18,18,1.000000000,0.888888889,0.777777778,1.000000000,0.944444444,0.619576720,0.754629630,0.541747009,0.668708706,0.126961697,0.003405468,0.255411858,10,4,4
30,sensitivity,all_eligible,93,92,0.913978495,0.892473118,0.870967742,0.827956989,0.881720430,0.546795528,0.668817204,0.580963374,0.696181786,0.115218412,0.057310536,0.175612727,37,41,15
30,sensitivity,article_only_single_chunk,12,12,0.916666667,0.916666667,0.916666667,0.666666667,0.750000000,0.397453704,0.495833333,0.458612307,0.552503285,0.093890978,-0.039797015,0.243697838,5,5,2
30,sensitivity,mixed_clause_and_article,2,2,1.000000000,0.750000000,0.500000000,1.000000000,1.000000000,0.625000000,0.583333333,0.438607658,0.547811376,0.109203718,-0.394739756,0.613147193,1,0,1
30,sensitivity,primary_cited_clause,79,78,0.911392405,0.892405063,0.873417722,0.848101266,0.898734177,0.567500502,0.697257384,0.603152288,0.721762581,0.118610293,0.057450257,0.182563153,31,36,12
30,sensitivity,multi_target,18,18,1.000000000,0.888888889,0.777777778,1.000000000,0.944444444,0.619576720,0.754629630,0.541747009,0.667238933,0.125491924,0.002361415,0.255699932,10,4,4
50,sensitivity,all_eligible,93,92,0.946236559,0.924731183,0.903225806,0.827956989,0.881720430,0.546795528,0.668561188,0.580963374,0.694125180,0.113161806,0.053890941,0.172291187,36,42,15
50,sensitivity,article_only_single_chunk,12,12,1.000000000,1.000000000,1.000000000,0.666666667,0.750000000,0.397453704,0.495833333,0.458612307,0.552503285,0.093890978,-0.041171962,0.242686955,5,5,2
50,sensitivity,mixed_clause_and_article,2,2,1.000000000,0.750000000,0.500000000,1.000000000,1.000000000,0.625000000,0.583333333,0.438607658,0.547811376,0.109203718,-0.394739756,0.613147193,1,0,1
50,primary,primary_cited_clause,79,78,0.936708861,0.917721519,0.898734177,0.848101266,0.898734177,0.567500502,0.696955998,0.603152288,0.719341514,0.116189225,0.055544729,0.180976415,30,37,12
50,secondary,multi_target,18,18,1.000000000,0.888888889,0.777777778,1.000000000,0.944444444,0.619576720,0.753306878,0.541747009,0.656613137,0.114866128,-0.009549561,0.248494606,9,5,4
