qid,first_stage_rank,doc_id,pair_tokens,over_512,over_1024
fns-012b4513b35b1bca5591afd061f1ed681326e5c538c4423cad7efa25299fa774,1,nk-1-article-89.1-chunk-001,838,true,false
fns-012b4513b35b1bca5591afd061f1ed681326e5c538c4423cad7efa25299fa774,2,nk-1-article-89.1-chunk-002,472,false,false
fns-012b4513b35b1bca5591afd061f1ed681326e5c538c4423cad7efa25299fa774,3,nk-1-article-89-chunk-001,833,true,false
fns-012b4513b35b1bca5591afd061f1ed681326e5c538c4423cad7efa25299fa774,4,nk-1-article-101-chunk-002,790,true,false
fns-012b4513b35b1bca5591afd061f1ed681326e5c538c4423cad7efa25299fa774,5,nk-1-article-100-chunk-001,804,true,false
fns-012b4513b35b1bca5591afd061f1ed681326e5c538c4423cad7efa25299fa774,6,nk-1-article-101-chunk-004,812,true,false
fns-012b4513b35b1bca5591afd061f1ed681326e5c538c4423cad7efa25299fa774,7,nk-1-article-89-chunk-002,838,true,false
fns-012b4513b35b1bca5591afd061f1ed681326e5c538c4423cad7efa25299fa774,8,nk-1-article-101-chunk-001,692,true,false
fns-012b4513b35b1bca5591afd061f1ed681326e5c538c4423cad7efa25299fa774,9,nk-1-article-89-chunk-005,496,false,false
fns-012b4513b35b1bca5591afd061f1ed681326e5c538c4423cad7efa25299fa774,10,nk-1-article-101-chunk-005,665,true,false
fns-012b4513b35b1bca5591afd061f1ed681326e5c538c4423cad7efa25299fa774,11,nk-1-article-89-chunk-003,795,true,false
fns-012b4513b35b1bca5591afd061f1ed681326e5c538c4423cad7efa25299fa774,12,nk-1-article-105.17-chunk-002,782,true,false
fns-012b4513b35b1bca5591afd061f1ed681326e5c538c4423cad7efa25299fa774,13,nk-1-article-95-chunk-001,681,true,false
fns-012b4513b35b1bca5591afd061f1ed681326e5c538c4423cad7efa25299fa774,14,nk-1-article-88-chunk-008,608,true,false
fns-012b4513b35b1bca5591afd061f1ed681326e5c538c4423cad7efa25299fa774,15,nk-1-article-101-chunk-003,767,true,false
fns-012b4513b35b1bca5591afd061f1ed681326e5c538c4423cad7efa25299fa774,16,nk-1-article-89-chunk-004,798,true,false
fns-012b4513b35b1bca5591afd061f1ed681326e5c538c4423cad7efa25299fa774,17,nk-1-article-25.5-chunk-001,935,true,false
fns-012b4513b35b1bca5591afd061f1ed681326e5c538c4423cad7efa25299fa774,18,nk-1-article-105.17-chunk-001,801,true,false
fns-012b4513b35b1bca5591afd061f1ed681326e5c538c4423cad7efa25299fa774,19,nk-1-article-25.3-chunk-002,851,true,false
fns-012b4513b35b1bca5591afd061f1ed681326e5c538c4423cad7efa25299fa774,20,nk-1-article-91-chunk-001,746,true,false
fns-012b4513b35b1bca5591afd061f1ed681326e5c538c4423cad7efa25299fa774,21,nk-1-article-100-chunk-002,649,true,false
fns-012b4513b35b1bca5591afd061f1ed681326e5c538c4423cad7efa25299fa774,22,nk-2-article-289-chunk-002,253,false,false
fns-012b4513b35b1bca5591afd061f1ed681326e5c538c4423cad7efa25299fa774,23,nk-1-article-105.26-chunk-001,799,true,false
fns-012b4513b35b1bca5591afd061f1ed681326e5c538c4423cad7efa25299fa774,24,nk-1-article-25.3-chunk-003,311,false,false
fns-012b4513b35b1bca5591afd061f1ed681326e5c538c4423cad7efa25299fa774,25,nk-1-article-25.5-chunk-002,877,true,false
fns-012b4513b35b1bca5591afd061f1ed681326e5c538c4423cad7efa25299fa774,26,nk-1-article-25.6-chunk-001,879,true,false
fns-012b4513b35b1bca5591afd061f1ed681326e5c538c4423cad7efa25299fa774,27,nk-1-article-101-chunk-006,858,true,false
fns-012b4513b35b1bca5591afd061f1ed681326e5c538c4423cad7efa25299fa774,28,nk-1-article-25.5-chunk-003,858,true,false
fns-012b4513b35b1bca5591afd061f1ed681326e5c538c4423cad7efa25299fa774,29,nk-1-article-92-chunk-001,577,true,false
fns-012b4513b35b1bca5591afd061f1ed681326e5c538c4423cad7efa25299fa774,30,nk-1-article-94-chunk-001,796,true,false
fns-012b4513b35b1bca5591afd061f1ed681326e5c538c4423cad7efa25299fa774,31,nk-1-article-101-chunk-008,703,true,false
fns-012b4513b35b1bca5591afd061f1ed681326e5c538c4423cad7efa25299fa774,32,nk-2-article-278.1-chunk-001,941,true,false
fns-012b4513b35b1bca5591afd061f1ed681326e5c538c4423cad7efa25299fa774,33,nk-1-article-93-chunk-002,650,true,false
fns-012b4513b35b1bca5591afd061f1ed681326e5c538c4423cad7efa25299fa774,34,nk-2-article-321.2-chunk-001,368,false,false
fns-012b4513b35b1bca5591afd061f1ed681326e5c538c4423cad7efa25299fa774,35,nk-1-article-25.1-chunk-001,405,false,false
fns-012b4513b35b1bca5591afd061f1ed681326e5c538c4423cad7efa25299fa774,36,nk-1-article-113-chunk-001,376,false,false
fns-012b4513b35b1bca5591afd061f1ed681326e5c538c4423cad7efa25299fa774,37,nk-2-article-270-chunk-006,848,true,false
fns-012b4513b35b1bca5591afd061f1ed681326e5c538c4423cad7efa25299fa774,38,nk-1-article-89.2-chunk-001,574,true,false
fns-012b4513b35b1bca5591afd061f1ed681326e5c538c4423cad7efa25299fa774,39,nk-2-article-278.1-chunk-002,983,true,false
fns-012b4513b35b1bca5591afd061f1ed681326e5c538c4423cad7efa25299fa774,40,nk-1-article-93.2-chunk-001,925,true,false
fns-012b4513b35b1bca5591afd061f1ed681326e5c538c4423cad7efa25299fa774,41,nk-2-article-176-chunk-001,679,true,false
fns-012b4513b35b1bca5591afd061f1ed681326e5c538c4423cad7efa25299fa774,42,nk-1-article-88-chunk-001,838,true,false
fns-012b4513b35b1bca5591afd061f1ed681326e5c538c4423cad7efa25299fa774,43,nk-1-article-25.2-chunk-001,870,true,false
fns-012b4513b35b1bca5591afd061f1ed681326e5c538c4423cad7efa25299fa774,44,nk-2-article-346.42-chunk-001,200,false,false
fns-012b4513b35b1bca5591afd061f1ed681326e5c538c4423cad7efa25299fa774,45,nk-1-article-25.4-chunk-001,863,true,false
fns-012b4513b35b1bca5591afd061f1ed681326e5c538c4423cad7efa25299fa774,46,nk-2-article-203-chunk-001,894,true,false
fns-012b4513b35b1bca5591afd061f1ed681326e5c538c4423cad7efa25299fa774,47,nk-1-article-87-chunk-001,149,false,false
fns-012b4513b35b1bca5591afd061f1ed681326e5c538c4423cad7efa25299fa774,48,nk-1-article-25.6-chunk-002,189,false,false
fns-012b4513b35b1bca5591afd061f1ed681326e5c538c4423cad7efa25299fa774,49,nk-1-article-139.1-chunk-001,338,false,false
fns-012b4513b35b1bca5591afd061f1ed681326e5c538c4423cad7efa25299fa774,50,nk-1-article-36-chunk-001,142,false,false
fns-02003bccff8b08914bd94bb7a4fd2b42d21d51a37080458f62ad24ea5a958e9f,1,nk-1-article-105.22-chunk-002,805,true,false
fns-02003bccff8b08914bd94bb7a4fd2b42d21d51a37080458f62ad24ea5a958e9f,2,nk-1-article-105.19-chunk-001,462,false,false
fns-02003bccff8b08914bd94bb7a4fd2b42d21d51a37080458f62ad24ea5a958e9f,3,nk-1-article-105.22-chunk-003,826,true,false
fns-02003bccff8b08914bd94bb7a4fd2b42d21d51a37080458f62ad24ea5a958e9f,4,nk-1-article-105.20-chunk-001,540,true,false
fns-02003bccff8b08914bd94bb7a4fd2b42d21d51a37080458f62ad24ea5a958e9f,5,nk-1-article-105.22-chunk-004,243,false,false
fns-02003bccff8b08914bd94bb7a4fd2b42d21d51a37080458f62ad24ea5a958e9f,6,nk-1-article-105.21-chunk-001,359,false,false
fns-02003bccff8b08914bd94bb7a4fd2b42d21d51a37080458f62ad24ea5a958e9f,7,nk-1-article-105.22-chunk-001,822,true,false
fns-02003bccff8b08914bd94bb7a4fd2b42d21d51a37080458f62ad24ea5a958e9f,8,nk-1-article-105.24-chunk-001,507,false,false
fns-02003bccff8b08914bd94bb7a4fd2b42d21d51a37080458f62ad24ea5a958e9f,9,nk-1-article-105.25-chunk-001,157,false,false
fns-02003bccff8b08914bd94bb7a4fd2b42d21d51a37080458f62ad24ea5a958e9f,10,nk-1-article-105.30-chunk-002,672,true,false
fns-02003bccff8b08914bd94bb7a4fd2b42d21d51a37080458f62ad24ea5a958e9f,11,nk-1-article-105.23-chunk-001,247,false,false
fns-02003bccff8b08914bd94bb7a4fd2b42d21d51a37080458f62ad24ea5a958e9f,12,nk-2-article-363-chunk-002,938,true,false
fns-02003bccff8b08914bd94bb7a4fd2b42d21d51a37080458f62ad24ea5a958e9f,13,nk-1-article-140-chunk-001,954,true,false
fns-02003bccff8b08914bd94bb7a4fd2b42d21d51a37080458f62ad24ea5a958e9f,14,nk-1-article-105.17-chunk-003,857,true,false
fns-02003bccff8b08914bd94bb7a4fd2b42d21d51a37080458f62ad24ea5a958e9f,15,nk-1-article-105.17-chunk-001,801,true,false
fns-02003bccff8b08914bd94bb7a4fd2b42d21d51a37080458f62ad24ea5a958e9f,16,nk-1-article-105.7-chunk-001,837,true,false
fns-02003bccff8b08914bd94bb7a4fd2b42d21d51a37080458f62ad24ea5a958e9f,17,nk-2-article-333.58-chunk-002,211,false,false
fns-02003bccff8b08914bd94bb7a4fd2b42d21d51a37080458f62ad24ea5a958e9f,18,nk-2-article-407-chunk-004,610,true,false
fns-02003bccff8b08914bd94bb7a4fd2b42d21d51a37080458f62ad24ea5a958e9f,19,nk-2-article-333.33-chunk-019,860,true,false
fns-02003bccff8b08914bd94bb7a4fd2b42d21d51a37080458f62ad24ea5a958e9f,20,nk-1-article-129.3-chunk-001,516,true,false
fns-02003bccff8b08914bd94bb7a4fd2b42d21d51a37080458f62ad24ea5a958e9f,21,nk-1-article-25.3-chunk-002,851,true,false
fns-02003bccff8b08914bd94bb7a4fd2b42d21d51a37080458f62ad24ea5a958e9f,22,nk-1-article-101.4-chunk-001,770,true,false
fns-02003bccff8b08914bd94bb7a4fd2b42d21d51a37080458f62ad24ea5a958e9f,23,nk-2-article-264.1-chunk-001,785,true,false
fns-02003bccff8b08914bd94bb7a4fd2b42d21d51a37080458f62ad24ea5a958e9f,24,nk-2-article-176.1-chunk-004,901,true,false
fns-02003bccff8b08914bd94bb7a4fd2b42d21d51a37080458f62ad24ea5a958e9f,25,nk-2-article-408-chunk-001,727,true,false
fns-02003bccff8b08914bd94bb7a4fd2b42d21d51a37080458f62ad24ea5a958e9f,26,nk-1-article-105.27-chunk-002,243,false,false
fns-02003bccff8b08914bd94bb7a4fd2b42d21d51a37080458f62ad24ea5a958e9f,27,nk-2-article-362-chunk-002,801,true,false
fns-02003bccff8b08914bd94bb7a4fd2b42d21d51a37080458f62ad24ea5a958e9f,28,nk-1-article-105.30-chunk-003,830,true,false
fns-02003bccff8b08914bd94bb7a4fd2b42d21d51a37080458f62ad24ea5a958e9f,29,nk-1-article-105.3-chunk-004,586,true,false
fns-02003bccff8b08914bd94bb7a4fd2b42d21d51a37080458f62ad24ea5a958e9f,30,nk-1-article-140-chunk-002,729,true,false
fns-02003bccff8b08914bd94bb7a4fd2b42d21d51a37080458f62ad24ea5a958e9f,31,nk-1-article-64-chunk-005,666,true,false
fns-02003bccff8b08914bd94bb7a4fd2b42d21d51a37080458f62ad24ea5a958e9f,32,nk-2-article-200-chunk-022,769,true,false
fns-02003bccff8b08914bd94bb7a4fd2b42d21d51a37080458f62ad24ea5a958e9f,33,nk-1-article-25.3-chunk-003,311,false,false
fns-02003bccff8b08914bd94bb7a4fd2b42d21d51a37080458f62ad24ea5a958e9f,34,nk-2-article-165-chunk-016,780,true,false
fns-02003bccff8b08914bd94bb7a4fd2b42d21d51a37080458f62ad24ea5a958e9f,35,nk-1-article-105.27-chunk-001,766,true,false
fns-02003bccff8b08914bd94bb7a4fd2b42d21d51a37080458f62ad24ea5a958e9f,36,nk-2-article-217.1-chunk-001,856,true,false
fns-02003bccff8b08914bd94bb7a4fd2b42d21d51a37080458f62ad24ea5a958e9f,37,nk-2-article-165-chunk-019,758,true,false
fns-02003bccff8b08914bd94bb7a4fd2b42d21d51a37080458f62ad24ea5a958e9f,38,nk-2-article-179.7-chunk-003,828,true,false
fns-02003bccff8b08914bd94bb7a4fd2b42d21d51a37080458f62ad24ea5a958e9f,39,nk-1-article-105.26-chunk-003,784,true,false
fns-02003bccff8b08914bd94bb7a4fd2b42d21d51a37080458f62ad24ea5a958e9f,40,nk-1-article-139-chunk-001,529,true,false
fns-02003bccff8b08914bd94bb7a4fd2b42d21d51a37080458f62ad24ea5a958e9f,41,nk-2-article-203.1-chunk-003,903,true,false
