qid,doc_id,pair_tokens,over_512,over_1024
fns-012b4513b35b1bca5591afd061f1ed681326e5c538c4423cad7efa25299fa774,nk-1-article-89.1-chunk-001,838,true,false
fns-02003bccff8b08914bd94bb7a4fd2b42d21d51a37080458f62ad24ea5a958e9f,nk-1-article-105.22-chunk-002,805,true,false
fns-0349ed50d9b4f7f4323fd60f4fbd0eb33e3408e76d57aa80cddf64bb421eafaf,nk-2-article-258-chunk-002,752,true,false
fns-0687700100cbc7a159006d1b6e81d4a0ac1e97f11a0c1ce8f6c20560fec9beb7,nk-1-article-21-chunk-002,708,true,false
fns-0687700100cbc7a159006d1b6e81d4a0ac1e97f11a0c1ce8f6c20560fec9beb7,nk-2-article-407-chunk-004,610,true,false
fns-0a7e06a86281138ace87df972e1466de933c32f4301548a65cb2a970d581d1c6,nk-2-article-179.2-chunk-005,841,true,false
fns-1afa9343af3d5ac777e38795f6ac135a4126ed53c4cc1bf870bcf931d3ec7cab,nk-2-article-346.45-chunk-002,751,true,false
fns-1bebfd806af54ffbb8978133775cd30fa2c5e58ed56e744fc39665961564eb76,nk-2-article-346.13-chunk-001,815,true,false
fns-1bebfd806af54ffbb8978133775cd30fa2c5e58ed56e744fc39665961564eb76,nk-2-article-346.13-chunk-002,815,true,false
fns-1ccaab8d735870a83490f41d86ee0eb07ae93f77f4bd0e72341f9dfd3280e92b,nk-2-article-346.45-chunk-004,656,true,false
fns-1deeca8df123eb5d20c48070c0d2b1760d23030ff8514cab6197926f548ed907,nk-1-article-105.19-chunk-001,451,false,false
fns-1deeca8df123eb5d20c48070c0d2b1760d23030ff8514cab6197926f548ed907,nk-1-article-105.20-chunk-001,529,true,false
fns-2c7f567c446d99f75076b65a2219dfc741c0f50dc57d9f4a9e42ec9fddfa7718,nk-2-article-256-chunk-001,791,true,false
fns-2c7fb305d2f0eb0525169e9bc5d223933f986eb6a8a810dc5009f195900498f4,nk-2-article-346.25-chunk-001,906,true,false
fns-2d25fa2a0a0dfdb972919c561f36d399cc06855dd827b721ff6b9ac236e30ef9,nk-1-article-79-chunk-003,824,true,false
fns-30992d1db31f457c05b44039827b92528753e0ac905121f7f8c4edbd021d066b,nk-2-article-346.3-chunk-002,786,true,false
fns-30cf19ccbd82c97e48193d55e9d873578fd277472d9e368806d70c6afb30b638,nk-2-article-346.9-chunk-001,387,false,false
fns-36a5c8268bd287c629af70ece01e3ec43af604051edddf3609f83a81f8c76569,nk-2-article-346.43-chunk-001,883,true,false
fns-37f0eaa061b02f80814bb41a31dd531aa30d9aae0c90e188e7f316e65c108353,nk-1-article-105.7-chunk-001,834,true,false
fns-3cdf8d252f9b03f2ca40221263c65c5fe5a8bb199572fbb1ea0b024fffa090f6,nk-1-article-119-chunk-001,298,false,false
fns-3d4696375c1ea959de2633ce495cf69e7e75ceaaa76c63e05c5ee8aaa24509b6,nk-2-article-378.2-chunk-001,833,true,false
fns-3d4696375c1ea959de2633ce495cf69e7e75ceaaa76c63e05c5ee8aaa24509b6,nk-2-article-378.2-chunk-003,854,true,false
fns-3f66363e6d61609b04233dd4555dca2733fe1be019aa3c01ac86df1fc836513b,nk-2-article-372.1-chunk-001,624,true,false
fns-3f721a10ed9d8108ef21f2bd70f7fb99d87890549026f5f1184fedc9a4572155,nk-2-article-346.43-chunk-007,789,true,false
fns-413fb9d42d2210bb87f0e5f9dd42b066e9ead25186421efa560b4d886d98d893,nk-2-article-179.2-chunk-005,847,true,false
fns-44069223bcc4529628e30241ddcd83ad75ecab7587f0b750458cef768965949b,nk-2-article-346.3-chunk-003,654,true,false
fns-48680ece2f45fd736f1860a28abfe715dbd6e9791575e2000d13e9bdfc915a97,nk-2-article-333.33-chunk-001,815,true,false
fns-48680ece2f45fd736f1860a28abfe715dbd6e9791575e2000d13e9bdfc915a97,nk-2-article-333.33-chunk-002,838,true,false
