sequence,repeat,cutoff,candidate_count,elapsed_ns,elapsed_ms
1,1,30,30,651421090,651.421090
2,1,50,50,1069152717,1069.152717
3,1,20,20,420768382,420.768382
4,1,10,10,202135436,202.135436
5,1,20,20,418057132,418.057132
6,1,10,10,209519505,209.519505
7,1,30,30,642037373,642.037373
8,1,50,50,1063415735,1063.415735
9,1,50,50,1090454713,1090.454713
10,1,10,10,199573628,199.573628
11,1,30,30,657966091,657.966091
12,1,20,20,443526760,443.526760
13,1,50,50,1080382703,1080.382703
14,1,30,30,655221565,655.221565
15,1,10,10,211634082,211.634082
16,1,20,20,440110474,440.110474
17,1,10,10,210543589,210.543589
18,1,20,20,422074484,422.074484
19,1,50,50,1082112987,1082.112987
20,1,30,30,632339212,632.339212
21,1,50,50,1103503567,1103.503567
22,1,10,10,210535201,210.535201
23,1,30,30,648763419,648.763419
24,1,20,20,435882641,435.882641
25,1,20,20,445759004,445.759004
26,1,10,10,227106448,227.106448
27,1,50,50,1132148697,1132.148697
28,1,30,30,659571310,659.571310
29,1,10,10,197675791,197.675791
30,1,30,30,650391231,650.391231
31,1,20,20,438948977,438.948977
32,1,50,50,1143413487,1143.413487
33,1,50,50,1060295548,1060.295548
34,1,20,20,406041993,406.041993
35,1,10,10,202767632,202.767632
36,1,30,30,624162246,624.162246
37,1,30,30,689502592,689.502592
38,1,10,10,208070894,208.070894
39,1,50,50,1141111670,1141.111670
40,1,20,20,424744429,424.744429
41,1,30,30,696335714,696.335714
42,1,20,20,441046868,441.046868
43,1,10,10,225257534,225.257534
44,1,50,50,1161560795,1161.560795
45,1,20,20,408803710,408.803710
46,1,50,50,1045113936,1045.113936
47,1,10,10,203085740,203.085740
48,1,30,30,610651656,610.651656
49,1,30,30,656187526,656.187526
50,1,50,50,1092921979,1092.921979
51,1,10,10,226214261,226.214261
52,1,20,20,441669809,441.669809
53,1,30,30,653553871,653.553871
54,1,10,10,223577832,223.577832
55,1,20,20,438182310,438.182310
56,1,50,50,1141468795,1141.468795
57,1,10,10,224363969,224.363969
58,1,20,20,460049533,460.049533
59,1,50,50,1155917513,1155.917513
60,1,30,30,712345278,712.345278
61,1,20,20,443461172,443.461172
62,1,30,30,658355193,658.355193
63,1,10,10,191785138,191.785138
64,1,50,50,1145435735,1145.435735
65,1,10,10,213188947,213.188947
66,1,20,20,424082159,424.082159
67,1,30,30,648520195,648.520195
68,1,50,50,1098090707,1098.090707
69,1,30,30,739209196,739.209196
70,1,10,10,239807918,239.807918
71,1,50,50,1288637151,1288.637151
72,1,20,20,476411515,476.411515
73,1,10,10,200990137,200.990137
74,1,50,50,1093949571,1093.949571
75,1,20,20,408671411,408.671411
76,1,30,30,658116457,658.116457
77,1,10,10,226626130,226.626130
78,1,20,20,461793118,461.793118
79,1,50,50,1178380228,1178.380228
80,1,30,30,672414810,672.414810
81,1,30,30,645598652,645.598652
82,1,50,50,1141964815,1141.964815
83,1,20,20,430789876,430.789876
84,1,10,10,176870417,176.870417
85,1,10,10,209716481,209.716481
86,1,20,20,422278394,422.278394
87,1,30,30,663899205,663.899205
88,1,50,50,1197669499,1197.669499
89,1,30,30,676131903,676.131903
90,1,10,10,221759450,221.759450
91,1,50,50,1090042381,1090.042381
92,1,20,20,454162483,454.162483
93,1,10,10,207311359,207.311359
94,1,20,20,433015018,433.015018
95,1,50,50,1091230412,1091.230412
